Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18
0.2465063,0.478222222,0.088461538,0.187487507,0.407826087,0.109480205,0.905405405,0.446666667,0.002824099,0.890874882,0.41173913,0.003124158,0.239327884,0.45826087,0.090223539,0.867324561,0.343913043,0.00325882
0.258517034,0.516,0.089564282,0.195422535,0.434347826,0.11077296,0.904191617,0.469777778,0.003012372,0.891025641,0.423043478,0.003204956,0.243428571,0.463043478,0.089146243,0.868335147,0.346956522,0.00325882
0.268218148,0.507111111,0.083727811,0.186223001,0.416086957,0.112631295,0.927807487,0.462666667,0.002178591,0.88101983,0.405652174,0.003393482,0.247507586,0.496521739,0.093509292,0.869565217,0.391304348,0.003635874
0.283054506,0.466222222,0.071463152,0.171554576,0.33826087,0.101185026,0.774580336,0.430666667,0.007584723,0.527909177,0.242608696,0.013439267,0.266177145,0.504347826,0.086129814,0.788659794,0.465652174,0.007729599
0.276353965,0.508,0.080500269,0.19845576,0.413478261,0.103447347,0.925200356,0.461777778,0.002259279,0.883435583,0.43826087,0.003582009,0.255129959,0.486521739,0.08798815,0.877349159,0.385652174,0.003339618
0.283382789,0.509333333,0.077945132,0.199161426,0.413043478,0.102881767,0.928571429,0.479555556,0.002232383,0.893539581,0.426956522,0.003151091,0.235697941,0.447826087,0.089954215,0.861570248,0.362608696,0.003608942
0.249454863,0.508444444,0.092576654,0.184140297,0.42,0.115270671,0.930568079,0.458666667,0.002071006,0.880116959,0.392608696,0.003312685,0.247933884,0.495652174,0.093132238,0.862200957,0.39173913,0.003878266
0.264564943,0.466222222,0.078429263,0.168599656,0.341304348,0.104255319,0.768982229,0.423111111,0.007692308,0.569979716,0.244347826,0.011419337,0.265933058,0.504347826,0.086237544,0.780821918,0.470869565,0.00818745
0.256917885,0.507555556,0.088838085,0.197736626,0.417826087,0.105009426,0.930879713,0.460888889,0.002071006,0.883379247,0.41826087,0.003420415,0.255644242,0.487391304,0.087907353,0.877591313,0.386521739,0.003339618
0.260859625,0.507111111,0.086955352,0.197474643,0.414782609,0.104416914,0.933566434,0.474666667,0.00204411,0.891554702,0.403913043,0.003043361,0.236914601,0.448695652,0.089523297,0.852077001,0.365652174,0.00393213
0.265628631,0.508,0.084991931,0.184855234,0.433043478,0.118287099,0.925266904,0.462222222,0.002259279,0.882638215,0.395652174,0.00325882,0.247507586,0.496521739,0.093509292,0.872298625,0.386086957,0.003501212
0.276422764,0.468444444,0.074206563,0.164437944,0.342173913,0.107702666,0.764240506,0.429333333,0.008015062,0.517145505,0.242608696,0.01403178,0.266177145,0.504347826,0.086129814,0.794929157,0.463478261,0.00740641
0.274622574,0.509333333,0.081414739,0.198748991,0.42826087,0.106948559,0.927871772,0.463111111,0.002178591,0.894454383,0.434782609,0.003178023,0.255129959,0.486521739,0.08798815,0.883485309,0.379130435,0.003097226
0.281394782,0.512888889,0.079263045,0.198267177,0.427826087,0.107164018,0.927226027,0.481333333,0.002286175,0.904147465,0.426521739,0.00280097,0.235697941,0.447826087,0.089954215,0.865203762,0.36,0.00347428
0.246660922,0.508888889,0.094055944,0.181587532,0.435652174,0.121626717,0.929219601,0.455111111,0.002097902,0.877,0.381304348,0.003312685,0.247933884,0.495652174,0.093132238,0.868804665,0.388695652,0.003635874
0.257080078,0.468,0.081845078,0.161971831,0.35,0.112173445,0.772317772,0.419111111,0.007477138,0.572463768,0.240434783,0.011123081,0.265933058,0.504347826,0.086237544,0.779783394,0.469565217,0.008214382
0.255974983,0.509333333,0.089591178,0.197555205,0.435652174,0.109614867,0.930442638,0.457777778,0.002071006,0.888584475,0.423043478,0.003285753,0.255644242,0.487391304,0.087907353,0.877733598,0.383913043,0.003312685
0.261991777,0.509777778,0.08690156,0.195343331,0.430434783,0.109830326,0.935964912,0.474222222,0.001963421,0.904069767,0.405652174,0.002666308,0.236914601,0.448695652,0.089523297,0.851020408,0.362608696,0.00393213
0.23012939,0.553333333,0.112022593,0.17115903,0.44173913,0.132507406,0.915268456,0.484888889,2.72E-03,0.881802721,0.450869565,3.74E-03,0.241945946,0.486521739,9.44E-02,0.905742145,0.363478261,2.34E-03
0.229178107,0.556444444,0.113259817,0.164390491,0.423913043,0.133476973,0.918854415,0.513333333,2.74E-03,0.894067797,0.458695652,3.37E-03,0.236308754,0.476521739,9.54E-02,0.886752137,0.360869565,2.85E-03
0.234659091,0.550666667,0.108687466,0.179524153,0.433043478,0.122596283,0.910299003,0.487111111,2.90E-03,0.875305623,0.466956522,4.12E-03,0.25220339,0.485217391,8.91E-02,0.909192825,0.352608696,2.18E-03
0.233994759,0.555555556,0.110059172,0.175161522,0.424347826,0.123781309,0.911023622,0.514222222,3.04E-03,0.882071713,0.481304348,3.99E-03,0.246868595,0.471304348,8.91E-02,0.893873085,0.355217391,2.61E-03
